SN,tester,group,TN,CN,BN,cond,CCW,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,clampi,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist,hand_report
1,D,15,1,1,1,15,1,6,11.3305090525366,12.1508577459419,12.1508577459419,13.9266958932133,12.1508577459419,56.3305090525366,45,0,0,0,0.0880459756992309,1.26294749132643,259.931497362076,955.242979602276,120.410260555068,120.410260555068,NaN
1,D,15,2,1,1,15,1,6,2.09483034218121,5.75646594085021,5.75646594085021,-1.44002351399473,7.80791464418735,137.094830342181,135,0,0,0,0.083928726489205,0.45560969571153,2.52785340273221,939.242382048792,134.63368137646,134.63368137646,NaN
1,D,15,3,1,1,15,1,6,7.50960097442487,6.48291302609954,6.48291302609954,NaN,6.48291302609954,-127.490399025575,225,0,0,0,0.0879266917512496,0.487583202056044,3.79877008334631,981.257029529435,NaN,120.00264143111,NaN
1,D,15,4,1,1,15,1,6,-9.36991372545492,-6.03806951768928,-5.75162945126408,NaN,-16.3592444818423,-54.3699137254549,315,0,0,0,0.231800259179977,0.59550362614209,5.0097644577699,374.286390226351,NaN,145.631654559076,NaN
1,D,15,5,2,1,15,1,6,-1.60363814784596,-0.742874756377496,-0.494498400884076,-2.35617985857784,-0.886106760362395,43.396361852154,45,0,0,0,0.147874236861014,0.475603728509157,2.05423423461167,596.311254117194,84.3521617165098,84.3521617165098,NaN
1,D,15,6,2,1,15,1,6,1.76441152274111,1.60952308216054,1.60952308216054,3.08346255129186,-2.85762761535,-43.2355884772589,315,0,0,0,0.171758669043811,0.379331366900146,3.53837112210931,515.729110532931,134.929389594786,134.929389594786,NaN
1,D,15,7,2,1,15,1,6,9.96081465763189,7.24615476055004,7.24615476055004,9.71237442554764,6.36794013507102,-125.039185342368,225,0,0,0,0.151846061811398,0.347709102206977,4.6576622810025,587.568469006447,87.5664645788353,87.582818643026,NaN
1,D,15,8,2,1,15,1,6,-6.92796097376049,10.0522803064593,10.0522803064593,NaN,10.0522803064593,128.07203902624,135,0,0,0,0.69141693405453,0.395664854772519,5.7711016158035,319.405318016051,NaN,80.489318669224,NaN
1,D,15,9,3,1,15,1,6,-0.105761425598132,-1.33875667655661,-1.33875667655661,-0.0961236805105728,-2.42487033736069,-45.1057614255981,315,0,0,0,0.135886650804139,0.519565421836887,2.02429696835486,605.63413350059,102.73929193851,102.73929193851,NaN
1,D,15,10,3,1,15,1,6,6.14060367391038,7.86517753269754,7.86517753269754,3.90160239654697,8.24724121959959,51.1406036739104,45,0,0,0,0.115901932369752,0.459614571631448,1.79048090059609,679.739511618408,126.315002842818,126.321789092808,NaN
